company_id,type,rule_id,text,confidence_pct
ADANIPORTS,con,CON8,Debt levels are relatively high.,82
ADANIPORTS,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ADANIPORTS,pro,PRO10,Return on equity indicates strengthening business quality.,78
ADANIPORTS,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIPORTS,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
ADANIPORTS,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
ADANIPOWER,con,CON1,Debt-to-equity ratio of 9.74 is elevated.,90
ADANIPOWER,con,CON10,Low return on capital efficiency.,82
ADANIPOWER,con,CON11,High debt limits financial flexibility.,78
ADANIPOWER,con,CON2,Negative free cash flow raises concern about cash generation.,80
ADANIPOWER,con,CON3,Interest coverage below 1.5x indicates debt servicing risk.,85
ADANIPOWER,con,CON5,Low return on equity indicates poor capital efficiency.,80
ADANIPOWER,con,CON6,Low interest coverage increases financial risk.,90
ADANIPOWER,con,CON8,Debt levels are relatively high.,82
ADANIPOWER,con,CON9,Low earnings per share indicates weak profitability.,75
ADANIPOWER,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ADANIPOWER,pro,PRO10,Return on equity indicates strengthening business quality.,78
ADANIPOWER,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIPOWER,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
ADANIPOWER,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
ADANIPOWER,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
AMBUJACEM,con,CON10,Low return on capital efficiency.,82
AMBUJACEM,con,CON2,Negative free cash flow raises concern about cash generation.,80
AMBUJACEM,con,CON5,Low return on equity indicates poor capital efficiency.,80
AMBUJACEM,con,CON7,Dividend payout above 100% appears unsustainable.,88
AMBUJACEM,pro,PRO12,Low leverage supports long-term sustainable growth.,80
AMBUJACEM,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
AMBUJACEM,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
AMBUJACEM,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
AMBUJACEM,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
APOLLOHOSP,con,CON10,Low return on capital efficiency.,82
APOLLOHOSP,con,CON11,High debt limits financial flexibility.,78
APOLLOHOSP,con,CON2,Negative free cash flow raises concern about cash generation.,80
APOLLOHOSP,con,CON5,Low return on equity indicates poor capital efficiency.,80
APOLLOHOSP,pro,PRO10,Return on equity indicates strengthening business quality.,78
APOLLOHOSP,pro,PRO12,Low leverage supports long-term sustainable growth.,80
APOLLOHOSP,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
APOLLOHOSP,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
APOLLOHOSP,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
ASIANPAINT,con,CON11,High debt limits financial flexibility.,78
ASIANPAINT,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ASIANPAINT,pro,PRO10,Return on equity indicates strengthening business quality.,78
ASIANPAINT,pro,PRO12,Low leverage supports long-term sustainable growth.,80
ASIANPAINT,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
ASIANPAINT,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
ASIANPAINT,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
ASIANPAINT,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
ASIANPAINT,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
AXISBANK,con,CON1,Debt-to-equity ratio of 8.93 is elevated.,90
AXISBANK,con,CON10,Low return on capital efficiency.,82
AXISBANK,con,CON11,High debt limits financial flexibility.,78
AXISBANK,con,CON2,Negative free cash flow raises concern about cash generation.,80
AXISBANK,con,CON3,Interest coverage below 1.5x indicates debt servicing risk.,85
AXISBANK,con,CON4,Operating margin is relatively weak.,75
AXISBANK,con,CON5,Low return on equity indicates poor capital efficiency.,80
AXISBANK,con,CON6,Low interest coverage increases financial risk.,90
AXISBANK,con,CON8,Debt levels are relatively high.,82
AXISBANK,con,CON9,Low earnings per share indicates weak profitability.,75
AXISBANK,pro,PRO10,Return on equity indicates strengthening business quality.,78
AXISBANK,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
AXISBANK,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
AXISBANK,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
AXISBANK,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
BAJAJAUTO,con,CON11,High debt limits financial flexibility.,78
BAJAJAUTO,con,CON2,Negative free cash flow raises concern about cash generation.,80
BAJAJAUTO,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BAJAJAUTO,pro,PRO10,Return on equity indicates strengthening business quality.,78
BAJAJAUTO,pro,PRO12,Low leverage supports long-term sustainable growth.,80
BAJAJAUTO,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BAJAJAUTO,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
BAJAJAUTO,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
BAJAJAUTO,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BAJAJAUTO,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
BAJAJFINSV,con,CON1,Debt-to-equity ratio of 2.09 is elevated.,90
BAJAJFINSV,con,CON11,High debt limits financial flexibility.,78
BAJAJFINSV,con,CON2,Negative free cash flow raises concern about cash generation.,80
BAJAJFINSV,con,CON8,Debt levels are relatively high.,82
BAJAJFINSV,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BAJAJFINSV,pro,PRO10,Return on equity indicates strengthening business quality.,78
BAJAJFINSV,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BAJAJFINSV,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
BAJAJFINSV,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BAJAJFINSV,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
BAJAJHLDNG,con,CON10,Low return on capital efficiency.,82
BAJAJHLDNG,con,CON2,Negative free cash flow raises concern about cash generation.,80
BAJAJHLDNG,con,CON5,Low return on equity indicates poor capital efficiency.,80
BAJAJHLDNG,pro,PRO10,Return on equity indicates strengthening business quality.,78
BAJAJHLDNG,pro,PRO12,Low leverage supports long-term sustainable growth.,80
BAJAJHLDNG,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BAJAJHLDNG,pro,PRO3,Debt-free balance sheet provides financial flexibility.,95
BAJAJHLDNG,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
BAJAJHLDNG,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
BAJAJHLDNG,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
BAJAJHLDNG,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BAJAJHLDNG,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
BAJFINANCE,con,CON1,Debt-to-equity ratio of 5.55 is elevated.,90
BAJFINANCE,con,CON11,High debt limits financial flexibility.,78
BAJFINANCE,con,CON2,Negative free cash flow raises concern about cash generation.,80
BAJFINANCE,con,CON3,Interest coverage below 1.5x indicates debt servicing risk.,85
BAJFINANCE,con,CON6,Low interest coverage increases financial risk.,90
BAJFINANCE,con,CON8,Debt levels are relatively high.,82
BAJFINANCE,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BAJFINANCE,pro,PRO10,Return on equity indicates strengthening business quality.,78
BAJFINANCE,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
BAJFINANCE,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
BAJFINANCE,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
BAJFINANCE,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
BANKBARODA,con,CON1,Debt-to-equity ratio of 15.30 is elevated.,90
BANKBARODA,con,CON10,Low return on capital efficiency.,82
BANKBARODA,con,CON11,High debt limits financial flexibility.,78
BANKBARODA,con,CON2,Negative free cash flow raises concern about cash generation.,80
BANKBARODA,con,CON4,Operating margin is relatively weak.,75
BANKBARODA,con,CON5,Low return on equity indicates poor capital efficiency.,80
BANKBARODA,con,CON8,Debt levels are relatively high.,82
BANKBARODA,con,CON9,Low earnings per share indicates weak profitability.,75
BANKBARODA,pro,PRO10,Return on equity indicates strengthening business quality.,78
BANKBARODA,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BANKBARODA,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
BANKBARODA,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BEL,con,CON1,Debt-to-equity ratio of 4.00 is elevated.,90
BEL,con,CON2,Negative free cash flow raises concern about cash generation.,80
BEL,con,CON8,Debt levels are relatively high.,82
BEL,con,CON9,Low earnings per share indicates weak profitability.,75
BEL,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BEL,pro,PRO10,Return on equity indicates strengthening business quality.,78
BEL,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BEL,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
BEL,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
BEL,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BHARTIARTL,con,CON1,Debt-to-equity ratio of 2.10 is elevated.,90
BHARTIARTL,con,CON10,Low return on capital efficiency.,82
BHARTIARTL,con,CON11,High debt limits financial flexibility.,78
BHARTIARTL,con,CON2,Negative free cash flow raises concern about cash generation.,80
BHARTIARTL,con,CON3,Interest coverage below 1.5x indicates debt servicing risk.,85
BHARTIARTL,con,CON5,Low return on equity indicates poor capital efficiency.,80
BHARTIARTL,con,CON6,Low interest coverage increases financial risk.,90
BHARTIARTL,con,CON7,Dividend payout above 100% appears unsustainable.,88
BHARTIARTL,con,CON8,Debt levels are relatively high.,82
BHARTIARTL,con,CON9,Low earnings per share indicates weak profitability.,75
BHARTIARTL,pro,PRO10,Return on equity indicates strengthening business quality.,78
BHARTIARTL,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BHARTIARTL,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
BHARTIARTL,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BHEL,con,CON10,Low return on capital efficiency.,82
BHEL,con,CON11,High debt limits financial flexibility.,78
BHEL,con,CON2,Negative free cash flow raises concern about cash generation.,80
BHEL,con,CON3,Interest coverage below 1.5x indicates debt servicing risk.,85
BHEL,con,CON4,Operating margin is relatively weak.,75
BHEL,con,CON5,Low return on equity indicates poor capital efficiency.,80
BHEL,con,CON6,Low interest coverage increases financial risk.,90
BHEL,con,CON7,Dividend payout above 100% appears unsustainable.,88
BHEL,con,CON9,Low earnings per share indicates weak profitability.,75
BHEL,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BHEL,pro,PRO10,Return on equity indicates strengthening business quality.,78
BHEL,pro,PRO12,Low leverage supports long-term sustainable growth.,80
BHEL,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BHEL,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
BHEL,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
BHEL,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BOSCHLTD,con,CON10,Low return on capital efficiency.,82
BOSCHLTD,con,CON5,Low return on equity indicates poor capital efficiency.,80
BOSCHLTD,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BOSCHLTD,pro,PRO10,Return on equity indicates strengthening business quality.,78
BOSCHLTD,pro,PRO12,Low leverage supports long-term sustainable growth.,80
BOSCHLTD,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BOSCHLTD,pro,PRO3,Debt-free balance sheet provides financial flexibility.,95
BOSCHLTD,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
BOSCHLTD,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
BOSCHLTD,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BOSCHLTD,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
BPCL,con,CON10,Low return on capital efficiency.,82
BPCL,con,CON11,High debt limits financial flexibility.,78
BPCL,con,CON2,Negative free cash flow raises concern about cash generation.,80
BPCL,con,CON4,Operating margin is relatively weak.,75
BPCL,con,CON5,Low return on equity indicates poor capital efficiency.,80
BPCL,con,CON7,Dividend payout above 100% appears unsustainable.,88
BPCL,con,CON8,Debt levels are relatively high.,82
BPCL,con,CON9,Low earnings per share indicates weak profitability.,75
BPCL,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BPCL,pro,PRO10,Return on equity indicates strengthening business quality.,78
BPCL,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BPCL,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
BPCL,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
BPCL,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BPCL,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
BRITANNIA,con,CON11,High debt limits financial flexibility.,78
BRITANNIA,con,CON2,Negative free cash flow raises concern about cash generation.,80
BRITANNIA,con,CON4,Operating margin is relatively weak.,75
BRITANNIA,con,CON7,Dividend payout above 100% appears unsustainable.,88
BRITANNIA,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BRITANNIA,pro,PRO10,Return on equity indicates strengthening business quality.,78
BRITANNIA,pro,PRO12,Low leverage supports long-term sustainable growth.,80
BRITANNIA,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
BRITANNIA,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
BRITANNIA,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
BRITANNIA,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
BRITANNIA,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
CANBK,con,CON1,Debt-to-equity ratio of 14.94 is elevated.,90
CANBK,con,CON10,Low return on capital efficiency.,82
CANBK,con,CON11,High debt limits financial flexibility.,78
CANBK,con,CON2,Negative free cash flow raises concern about cash generation.,80
CANBK,con,CON4,Operating margin is relatively weak.,75
CANBK,con,CON5,Low return on equity indicates poor capital efficiency.,80
CANBK,con,CON8,Debt levels are relatively high.,82
CANBK,con,CON9,Low earnings per share indicates weak profitability.,75
CANBK,pro,PRO10,Return on equity indicates strengthening business quality.,78
CANBK,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
CANBK,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
CANBK,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
CHOLAFIN,con,CON1,Debt-to-equity ratio of 7.82 is elevated.,90
CHOLAFIN,con,CON11,High debt limits financial flexibility.,78
CHOLAFIN,con,CON2,Negative free cash flow raises concern about cash generation.,80
CHOLAFIN,con,CON8,Debt levels are relatively high.,82
CHOLAFIN,con,CON9,Low earnings per share indicates weak profitability.,75
CHOLAFIN,pro,PRO10,Return on equity indicates strengthening business quality.,78
CHOLAFIN,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
CHOLAFIN,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
CHOLAFIN,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
CIPLA,con,CON10,Low return on capital efficiency.,82
CIPLA,con,CON11,High debt limits financial flexibility.,78
CIPLA,con,CON2,Negative free cash flow raises concern about cash generation.,80
CIPLA,con,CON5,Low return on equity indicates poor capital efficiency.,80
CIPLA,pro,PRO10,Return on equity indicates strengthening business quality.,78
CIPLA,pro,PRO12,Low leverage supports long-term sustainable growth.,80
CIPLA,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
CIPLA,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
CIPLA,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
CIPLA,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
CIPLA,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
CIPLA,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
COALINDIA,con,CON11,High debt limits financial flexibility.,78
COALINDIA,con,CON7,Dividend payout above 100% appears unsustainable.,88
COALINDIA,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
COALINDIA,pro,PRO10,Return on equity indicates strengthening business quality.,78
COALINDIA,pro,PRO12,Low leverage supports long-term sustainable growth.,80
COALINDIA,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
COALINDIA,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
COALINDIA,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
COALINDIA,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
COALINDIA,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
COALINDIA,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
DABUR,con,CON11,High debt limits financial flexibility.,78
DABUR,con,CON9,Low earnings per share indicates weak profitability.,75
DABUR,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
DABUR,pro,PRO10,Return on equity indicates strengthening business quality.,78
DABUR,pro,PRO12,Low leverage supports long-term sustainable growth.,80
DABUR,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
DABUR,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
DABUR,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
DABUR,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
DIVISLAB,con,CON2,Negative free cash flow raises concern about cash generation.,80
DIVISLAB,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
DIVISLAB,pro,PRO10,Return on equity indicates strengthening business quality.,78
DIVISLAB,pro,PRO12,Low leverage supports long-term sustainable growth.,80
DIVISLAB,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
DIVISLAB,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
DIVISLAB,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
DIVISLAB,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
DIVISLAB,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
DLF,con,CON10,Low return on capital efficiency.,82
DLF,con,CON11,High debt limits financial flexibility.,78
DLF,con,CON2,Negative free cash flow raises concern about cash generation.,80
DLF,con,CON3,Interest coverage below 1.5x indicates debt servicing risk.,85
DLF,con,CON5,Low return on equity indicates poor capital efficiency.,80
DLF,con,CON6,Low interest coverage increases financial risk.,90
DLF,con,CON7,Dividend payout above 100% appears unsustainable.,88
DLF,con,CON9,Low earnings per share indicates weak profitability.,75
DLF,pro,PRO12,Low leverage supports long-term sustainable growth.,80
DLF,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
DLF,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
DLF,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
DMART,con,CON10,Low return on capital efficiency.,82
DMART,con,CON11,High debt limits financial flexibility.,78
DMART,con,CON2,Negative free cash flow raises concern about cash generation.,80
DMART,con,CON4,Operating margin is relatively weak.,75
DMART,con,CON5,Low return on equity indicates poor capital efficiency.,80
DMART,con,CON9,Low earnings per share indicates weak profitability.,75
DMART,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
DMART,pro,PRO10,Return on equity indicates strengthening business quality.,78
DMART,pro,PRO12,Low leverage supports long-term sustainable growth.,80
DMART,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
DMART,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
DMART,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
DMART,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
DRREDDY,con,CON10,Low return on capital efficiency.,82
DRREDDY,con,CON11,High debt limits financial flexibility.,78
DRREDDY,con,CON2,Negative free cash flow raises concern about cash generation.,80
DRREDDY,con,CON5,Low return on equity indicates poor capital efficiency.,80
DRREDDY,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
DRREDDY,pro,PRO10,Return on equity indicates strengthening business quality.,78
DRREDDY,pro,PRO12,Low leverage supports long-term sustainable growth.,80
DRREDDY,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
DRREDDY,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
DRREDDY,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
DRREDDY,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
DRREDDY,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
DRREDDY,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
EICHERMOT,con,CON2,Negative free cash flow raises concern about cash generation.,80
EICHERMOT,con,CON4,Operating margin is relatively weak.,75
EICHERMOT,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
EICHERMOT,pro,PRO10,Return on equity indicates strengthening business quality.,78
EICHERMOT,pro,PRO12,Low leverage supports long-term sustainable growth.,80
EICHERMOT,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
EICHERMOT,pro,PRO4,Operating profit margin above 25% indicates strong pricing power.,85
EICHERMOT,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
EICHERMOT,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
EICHERMOT,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
EICHERMOT,pro,PRO9,Strong earnings per share indicates healthy earnings quality.,80
GAIL,con,CON10,Low return on capital efficiency.,82
GAIL,con,CON11,High debt limits financial flexibility.,78
GAIL,con,CON2,Negative free cash flow raises concern about cash generation.,80
GAIL,con,CON4,Operating margin is relatively weak.,75
GAIL,con,CON5,Low return on equity indicates poor capital efficiency.,80
GAIL,con,CON9,Low earnings per share indicates weak profitability.,75
GAIL,pro,PRO10,Return on equity indicates strengthening business quality.,78
GAIL,pro,PRO12,Low leverage supports long-term sustainable growth.,80
GAIL,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
GAIL,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
GAIL,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
GAIL,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
GODREJCP,con,CON10,Low return on capital efficiency.,82
GODREJCP,con,CON11,High debt limits financial flexibility.,78
GODREJCP,con,CON2,Negative free cash flow raises concern about cash generation.,80
GODREJCP,con,CON5,Low return on equity indicates poor capital efficiency.,80
GODREJCP,con,CON9,Low earnings per share indicates weak profitability.,75
GODREJCP,pro,PRO1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
GODREJCP,pro,PRO10,Return on equity indicates strengthening business quality.,78
GODREJCP,pro,PRO12,Low leverage supports long-term sustainable growth.,80
GODREJCP,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
GODREJCP,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
GODREJCP,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
GODREJCP,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
GRASIM,con,CON10,Low return on capital efficiency.,82
GRASIM,con,CON11,High debt limits financial flexibility.,78
GRASIM,con,CON2,Negative free cash flow raises concern about cash generation.,80
GRASIM,con,CON5,Low return on equity indicates poor capital efficiency.,80
GRASIM,con,CON8,Debt levels are relatively high.,82
GRASIM,pro,PRO10,Return on equity indicates strengthening business quality.,78
GRASIM,pro,PRO12,Low leverage supports long-term sustainable growth.,80
GRASIM,pro,PRO2,Strong free cash flow generation signals healthy business fundamentals.,85
GRASIM,pro,PRO5,Very high interest coverage reflects negligible financial stress.,80
GRASIM,pro,PRO7,Strong balance-sheet quality reduces financial stress.,82
GRASIM,pro,PRO8,Dividend yield above 2% backed by positive free cash flow.,84
